,Year,Country,Area,Day Time,Fatal,Type
276,2016,USA,Florida,Afternoon,N,Unprovoked
277,2016,USA,Florida,,N,Unprovoked
278,2016,USA,Florida,Afternoon,N,Provoked
279,2016,USA,Hawaii,Afternoon,N,Unprovoked
280,2016,NEW ZEALAND,North Island,Afternoon,N,Provoked
281,2016,INDONESIA,Bali,Morning,N,Unprovoked
282,2016,USA,Florida,Afternoon,N,Unprovoked
283,2016,SOUTH AFRICA,Western Cape Province,Morning,N,Unprovoked
284,2016,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
285,2016,FRENCH POLYNESIA,Tuamotos,Morning,Unknown,Provoked
286,2016,FRENCH POLYNESIA,Tuamotos,Morning,N,Provoked
287,2016,USA,Florida,,N,Unprovoked
288,2016,NEW CALEDONIA,Grand Terre,Morning,Y,Unprovoked
289,2016,CAPE VERDE,Boa Vista Island,,Unknown,
290,2016,USA,Florida,,N,Unprovoked
291,2016,USA,Florida,,Unknown,
292,2016,USA,Hawaii,Morning,N,Unprovoked
293,2016,AUSTRALIA,New South Wales,Evening,N,Unprovoked
294,2016,USA,Florida,,Unknown,Unprovoked
295,2016,AUSTRALIA,New South Wales,Morning,N,Unprovoked
296,2016,BAHAMAS,,,N,Provoked
297,2016,USA,California,Morning,Unknown,
298,2016,USA,Florida,Afternoon,N,Unprovoked
299,2016,Fiji,Vanua Levu,Afternoon,Y,Unprovoked
300,2016,USA,Florida,Afternoon,N,Unprovoked
301,2016,AUSTRALIA,South Australia,,N,Unprovoked
302,2016,BRAZIL,Santa Catarina State,,N,Unprovoked
303,2016,NEW CALEDONIA,South Province,Evening,N,Unprovoked
304,2016,NEW CALEDONIA,South Province,Afternoon,N,Unprovoked
305,2016,DOMINICAN REPUBLIC,Altagracia Province,Afternoon,N,Unprovoked
306,2016,CAYMAN ISLANDS,Grand Cayman,,Unknown,
307,2016,AUSTRALIA,Tasmania,Afternoon,Unknown,
308,2016,AUSTRALIA,Queensland,Afternoon,N,Unprovoked
309,2016,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
310,2016,BRAZIL,Balne�rio Cambori�,,N,Unprovoked
311,2016,SOUTH AFRICA,KwaZulu-Natal,,N,
312,2016,USA,Hawaii,Afternoon,N,Unprovoked
313,2016,USA,Hawaii,Morning,N,Unprovoked
314,2016,USA,Texas,,N,Unprovoked
315,2016,UNITED ARAB EMIRATES,Fujairah Emirate,,N,
316,2016,USA,Hawaii,Morning,N,Unprovoked
317,2016,AUSTRALIA,Queensland,,N,Unprovoked
318,2016,AUSTRALIA,Queensland,Afternoon,N,Unprovoked
319,2016,AUSTRALIA,Queensland,Morning,N,Unprovoked
320,2015,SOUTH AFRICA,KwaZulu-Natal,Morning,N,
321,2015,SPAIN,Grand Canary Island,,N,Unprovoked
322,2015,USA,Hawaii,Morning,N,Unprovoked
323,2015,AUSTRALIA,New South Wales,Morning,N,Unprovoked
324,2015,BRAZIL,Pernambuco,,N,Unprovoked
325,2015,ARUBA,,,Y,Unprovoked
326,2015,AUSTRALIA,New South Wales,Morning,N,
327,2015,BAHAMAS,,,N,Unprovoked
328,2015,SOUTH AFRICA,Eastern Cape Province,Morning,N,Unprovoked
329,2015,ECUADOR,Galapagos Islands,Morning,N,Unprovoked
330,2015,USA,Florida,Afternoon,N,Unprovoked
331,2015,USA,Florida,Morning,N,Unprovoked
332,2015,USA,Florida,,N,Unprovoked
333,2015,AUSTRALIA,New South Wales,Evening,N,Unprovoked
334,2015,USA,Florida,Morning,Unknown,
335,2015,USA,Hawaii,Morning,N,Unprovoked
336,2015,USA,Florida,Afternoon,N,Unprovoked
337,2015,MOZAMBIQUE,Inhambane Province,Night,N,Unprovoked
338,2015,AUSTRALIA,Western Australia,,N,Unprovoked
339,2015,USA,Hawaii,Afternoon,N,Unprovoked
340,2015,SOUTH AFRICA,Western Cape Province,Afternoon,N,Unprovoked
341,2015,USA,Florida,Afternoon,N,Unprovoked
342,2015,USA,Florida,Afternoon,N,Unprovoked
343,2015,MOZAMBIQUE,Inhambane Province,,Y,Unprovoked
344,2015,USA,Hawaii,Evening,Unknown,
345,2015,USA,Hawaii,Morning,N,Unprovoked
346,2015,USA,California,Morning,N,
347,2015,USA,South Carolina,Afternoon,N,Unprovoked
348,2015,USA,Hawaii,Morning,N,Unprovoked
349,2015,MOZAMBIQUE,Inhambane Province,,N,Unprovoked
350,2015,AUSTRALIA,Western Australia,Afternoon,N,Unprovoked
351,2015,USA,Florida,Afternoon,N,Unprovoked
352,2015,USA,Texas,Morning,N,Unprovoked
353,2015,USA,Florida,Morning,N,Unprovoked
354,2015,USA,Florida,Afternoon,N,Unprovoked
355,2015,AUSTRALIA,Queensland,Afternoon,N,Unprovoked
356,2015,USA,California,,N,
357,2015,USA,Florida,Afternoon,N,Unprovoked
358,2015,USA,Hawaii,Afternoon,N,Unprovoked
359,2015,USA,Florida,Afternoon,N,Unprovoked
360,2015,USA,Florida,Morning,N,Unprovoked
361,2015,USA,California,,N,
362,2015,USA,Florida,Evening,N,Unprovoked
363,2015,USA,Florida,Afternoon,N,Unprovoked
364,2015,AUSTRALIA,New South Wales,Morning,N,Unprovoked
365,2015,USA,California,Afternoon,N,Unprovoked
366,2015,USA,California,Afternoon,N,Provoked
367,2015,AUSTRALIA,New South Wales,Morning,N,Unprovoked
368,2015,USA,South Carolina,Afternoon,N,Unprovoked
369,2015,THAILAND,Phuket,Morning,N,Unprovoked
370,2015,FIJI,,,N,Unprovoked
371,2015,USA,California,Morning,N,Unprovoked
372,2015,USA,California,Morning,N,Unprovoked
373,2015,USA,Florida,Evening,Unknown,
374,2015,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
375,2015,USA,South Carolina,Afternoon,N,Unprovoked
376,2015,USA,Florida,Afternoon,N,Unprovoked
377,2015,USA,California,Morning,N,
378,2015,SPAIN,Alicante,Morning,Unknown,
379,2015,USA,California,Morning,N,Provoked
380,2015,AUSTRALIA,New South Wales,Morning,N,Unprovoked
381,2015,COSTA RICA,Guanacaste,,N,Unprovoked
382,2015,AUSTRALIA,Victoria,,Unknown,
383,2015,USA,Florida,Evening,N,Unprovoked
384,2015,USA,South Carolina,Morning,Unknown,
385,2015,AUSTRALIA,Tasmania,Morning,Y,Unprovoked
386,2015,USA,California,,N,Provoked
387,2015,AUSTRALIA,Victoria,,N,Unprovoked
388,2015,REUNION,,,N,Unprovoked
389,2015,SOUTH AFRICA,Eastern Cape Province,,N,Unprovoked
390,2015,USA,California,Morning,N,Unprovoked
391,2015,USA,California,,Unknown,
392,2015,FRENCH POLYNESIA,Bora Bora,,Unknown,
393,2015,BAHAMAS,Grand Bahama Island,,N,Unprovoked
394,2015,USA,North Carolina,Evening,N,Unprovoked
